DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IE,2019,9538.1,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IE,2020,8614.4,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2012,1475.9,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2013,1449.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2014,1360.7,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2015,1539.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2016,1671.9,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2017,2161.2,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2018,1773.3,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2019,1628.7,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IS,2020,1439.7,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2012,160714.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2013,154706.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2014,153704.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2015,142265.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2016,140029.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2017,139857.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2018,139362.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2019,133314.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,IT,2020,144440.0,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,LT,2012,1594.4,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,LT,2013,1690.4,
ESTAT:GOV_10A_EXP(1.0),03/01/23 11:00:00,A,MIO_EUR,S13,GF01,TE,LT,2014,1747.2,
